"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0012413","COG - Service Desk Support","Please add Charlotte.Gray@TheFA.com  and Bev.Ward@TheFA.com to the following DL WembleyFAOpsDivision@thefa.com and  WembleyOpsDivision@thefa.com","Members of the Ops department who are missing from the DL"
"SCTASK0012410","COG - Application Support","Unable to location Discipline Case Letter - Case Number: 10279127-M","Good afternoon to you, 

I hope that you are well. 

I wonder if you could provide me with some assistance please? This morning (21 October) I have updated a Club's Whole Game Record (Woofferton FC ) with details of a Charge being raised for Simon Bradley (FAN Number: 55770442) following an incident which took place in a recent match. The Case Number referring to this incident is: 10279127-M. 

Having completed the necessary update within the Club's record and completed the 'FA-Letter Processing' process, on checking within the 'Documents' section of the Club's Whole Game Record there seems to be no letter attached and/or retained. 

Would you be kind enough to carry out an investigation into locating the corresponding FA Letter associated to this individual and Case Number and attach it to the Club record and forward a copy of the letter to me enabling me to send it out to the individual? 

This anomaly has occurred on 2 occasions during the last 2 months and I am therefore wondering if this is a wider known ongoing issue within the Whole Game System Discipline function?

It is hoped that the information provided is found to be satisfactory and if you require any further information or have any questions then please don't hesitate to ask me. 

Your anticipated advice and guidance in this matter would be greatly appreciated, as always. 

Paul 
Paul Cotton
Football Services Manager
Herefordshire Football Association
Email: Paul.Cotton@herefordshirefa.com
Office Telephone: 01432 342179"
"SCTASK0012406","COG - Service Desk Support","Access to G drive","G drive access needed for Team Manager of MU17"
"SCTASK0012404","COG - Application Support","FA Events Platform - Updates to Application Flow","FAO Nimish/Bala

1) Adding FA Power League to the list of CFA list for Wildcats applications
2) Adding the activity related question during the booking flow for Fa Fives small grants under 18 and over 18 programs
3) Content Changes for Wild Cats."
"SCTASK0012396","COG - Service Desk Support","Please can John Salomon (john.salomon@thefa.com)be taken from the following group email ewtd@thefa.com","This person no longer works for this team so the group email is no longer required"
"SCTASK0012395","COG - Service Desk Support","Please can Lucy Faraday (lucy.faraday@thefa.com) be taken from the following group email ewtd@thefa.com","This person no longer works for this team so no longer requires access to the group email"
"SCTASK0012394","COG - Service Desk Support","Please can James Honeyman (james.honeyman@thefa.com) be taken from the following group email ewtd@thefa.com","This person no longer works for this team so therefore the group email is no longer required"
"SCTASK0012381","COG - Service Desk Support","Change of Sharefile Permissions to be able to create her own Personal Folders in Sharefile","There is a dependency between my own Citrix Sharefile account (liz.kazimierczyk@thefa.com) and that of Hannah.Marsh@thefa.com in that she makes use of a share of one of my Personal Folders.  It would be best if her account allowed her to create her own folders. I'm not sure what permission I have that is different.  My account was set up for me by The FA IT.  Hannah's account was set up by me to allow her access to one of my folders. I can upload files for her to review before a third party company logs in to download the data. As that works and with an increasing need over the next few months it would be best if she can create and control access to her own folders, without me.  Thanks Liz K"
"SCTASK0012378","COG - Application Support","First aid expiry date needs to be updated on crm/wgs","Kev Leach 65321146  first aid needs expiry date added 14/10/23"
"SCTASK0012372","COG - Service Desk Support","Paige Shorten to be added to the Women's Technical Talent Team group email address list","New to the team and needs to be added so she is included in future emails"
"SCTASK0012371","COG - Service Desk Support","Adam Furness to be added to the Women's Technical Talent Team group email address list","New to the team and needs to be added for future team emails"
"SCTASK0012367","COG - Service Desk Support","Font installation","Hi there. I changed laptops recently and need some fonts installed please (attached). These fonts are the England-specific brand fonts that I tend to do all my work in! Thanks."
"SCTASK0012362","COG - Application Support","County FA webpage hard redirects","Recently a number of County FA web pages were removed following the retirement of The FA Licensed Coaches Club. We would like a hard redirect for each of the following County FA pages please, as per the attached sheet."
"SCTASK0012361","COG - Desk side support - SGP","Howard Wilkinson and Terry Venables TV and projectors need servicing at SGP Hilton","wasn't working last week"
"SCTASK0012319","COG - Azure Support","I need access to the preprod application insights in Azure - zhcpppffappinsights","In order to investigate a B2C issue in preprod I need access to the preprod application insights in Azure, this is zhcpppffappinsights

zhcpppffappinsights is in a azure subscription that I currently do not have access to

My azure logon is leigh.willoughby@azurethefa.onmicrosoft.com"
"SCTASK0012304","COG - DBA Support","Need write Access for Test  Databases","Need Read/Write Access for test Db 
Could you please grant me read/Write access ,
User ID:FADEV\COG.SSR
Test Db Server Name : FADEV-TESTSQL1?
Databases:WGS,Onside"
"SCTASK0012148","COG - Service Desk Support","Need access for WEBEX for Callum White and Tim Wheeler","Northamptonshire FA"
"SCTASK0012129","COG - Application Support","First aid expiry needs to be put on crm/wgs","Kevin Leach fan 67006855 First Aid expiry is 14/10/23 please add to crm/wgs"
"SCTASK0012128","COG - Service Desk Support","Servicenow Patch Update Test","Servicenow Patch Update Test"
"SCTASK0012120","COG - Service Desk Support","Purchase Order unable to be approved by budgetholder","A PO has been raised in NFC and is currently with Dal Darroch for authorisation.  However, Dal is unable to see the PO to authorise it."
"SCTASK0012073","COG - Application Support","SV_SQL data doesn't seem to be updated past 12/10","Hi Smitha, Kasthuri,

I have an urgent request to raise with regards to SV_SQL - we aren't seeing any view information for FA Player videos coming through at any point from about 7:45GMT on 12 October onwards. 

We know there have been videos available to view and released videos since then, but cannot see any video information at all.

If you wouldn't mind having a look and fixing, that would be much appreciated.

Thank you,

Andy."
"SCTASK0012069","COG - Application Support","Safeguarding expiry needs to be updated on CRM/WGS","George Middlemiss Fan 60792851 expiry should read 17/8/23"
"SCTASK0012060","COG - Application Support","Safeguarding needs to have expiry on CRM/WGS","Stefano Centola Fan 2230135 expiry 29/9/20
Tara Dugdale fan 64091675 expiry 29/9/20"
"SCTASK0012059","COG - Application Support","Safeguarding expiry needs updating on crm/wgs","Steven Norris Fan 59538110 expires29/9/23
Dan Claxton Fan 381079 expires 4/11/22
Tara Dugdale FAn 64091675 expires29/9/23"
"SCTASK0012053","COG - Compute support","MS TEAMS Federation Request","MS TEAMS Federation Request
Kindly enable federation request for the below associates to access FA TEAMS to follow up with FA users over chat for the ticket closure.
muralikrishna.tata@cognizant.com
nareshkumar.t@cognizant.com
jyothiprakash.adigopula@cognizant.com
antony.alexander@cognizant.com
saravanan.sr2@cognizant.com
gayatri.panda@cognizant.com
nagendrababu.vemula@cognizant.com
sudheer.obbu@cognizant.com"
"SCTASK0012040","COG - Application Support","the new CFA option (FA Powerleague) to be added to the below officials","Nick Glenday Nick.Glenday@thefa.com 
Caroline Hulme Caroline.Hulme@thefa.com 
Ellie Hellyer Ellie.Hellyer@thefa.com 
Liam Crane Liam.Crane@middlesexfa.com"
"SCTASK0012039","COG - Compute support","Please create AD account - PFFIntegration","Please create AD account - PFFIntegration"
"SCTASK0012019","COG - Service Desk Support","Safeguarding Operating Standards Monitoring Report - Guernsey FA","Hi there 

Would it be possible to have Sara Mallett our DSO added to the distribution list for the daily Guernsey FA Safeguarding Operating Standards Monitoring Report with email Sara.Mallett@randellandloveridge.gg

Kind regards 
Joelle Pengelley 
Guernsey FA DDSO"
"SCTASK0012016","COG - Service Desk Support","Create a new Mailbox -  Coaching@NorfolkFA.com","This email address is required to support our new Coaches Association so that local Coaches can contact the correct County FA personnel direct."
"SCTASK0012013","COG - Service Desk Support","Power BI Licences","'-	Need the list of the CEOs for each CFA that have been given a Pro Power BI Licence
-	Need to change the licence of lewis.qualthrough@isleofmanfa.com to kevan.maitland@isleofmanfa.com 
-	Craig.Lewis@cumberlandfa.com and iain.kay@lancashirefa.com still do not have access to their licences can this be looked into please"
"SCTASK0011959","COG - Application Support","Removal of CFA Access","Wendy Chambers
FAN: 1394234

Good Afternoon, We have a Club Secretary (see above) who was previously a staff member at Huntingdonshire FA. There is a suggestion that there is still some conflicting CFA Access, which is affecting her ability to use WGS properly.

Some of the issues the club secretary is facing is;

- Can not handle discipline as it states that 'can not alter when logged on as another fan'
- Cannot log in using email, has to log in with FAN

This Club Secretary left our CFA a few weeks ago and as I understand it, had all access removed at the time.

Please advise if you can completely remove CFA access on her FAN"
"SCTASK0011902","COG - Service Desk Support","Share File","Clubs can share GBE applications or internal data sharing for Brexit work"
"SCTASK0011871","COG - Compute support","Need Bomgar and THEFA account reactivated for 3rd Party","We have an issue with one of our apps and a third party FSi needs access to one of our web servers to take a look. They would usually connect via Bomgar but he is saying the it will not allow him to login to install the update. The username on Bomgar is:

Ppatchell

He will also need his THEFA domain account reactivated, can you check if his account is still active, I believe it is:

THEFA\PPatchell"
"SCTASK0011740","COG - Service Desk Support","Hi Team, Need access to FA Mailbox and FA Team. My FA ID is Cog.VKothandarama. Request you to create one FA mail address","Need it to access all the FA mails and to contact the FA users"
"SCTASK0011724","COG - Application Support","Events Staging Demo FAN Data","FAO Sharuga...

Can you please arrange some demo/test data for me? I need to demo FA Fives Small Grants this Thursday and would like to show the complete application flow. Staging data.

Can you provide:

•	x4 Lead Deliverer FANS
o	18+
o	In-Date DBS/CRC
o	In-Date FA Safeguarding Training

•	x4 Volunteers
o	18+
o	In-Date DBS/CRC"
"SCTASK0011688","COG - Desk side support - Wembley","Power BI License","An additional license needed for access to support with KPI reporting."
"SCTASK0011679","COG - Desk side support - SGP","myview link not available","I cannot get onto myview via google chrome link, or via team talk link through google chrome. It stopped working when i updated my mac with the most recent update. Please can you advise how I can gain access. Thanks"
"SCTASK0011669","COG - Service Desk Support","Change Job Title on Profile","Job role has changed from Business Development Manager to Head of Football Operations"
"SCTASK0011666","COG - Service Desk Support","Job Title change","Job change within new structure
Old title - Education Services Administrator
New title - Education Development Coordinator
Can this be updated please across all FA software"
"SCTASK0011636","COG - DevOps Support","Required data logs","Hi,

Got an incident INC0040297 . I have to check log for the credentials  (FAN 57407426) with his email jeff_romp@yahoo.com. Kindly provide log details."
"SCTASK0011619","COG - Service Desk Support","New role","New role title - National Innovation Manger
LM Donna McIvor"
"SCTASK0011618","COG - Service Desk Support","New role","New role title - National Coach Development Lead (Mentoring)"
"SCTASK0011616","COG - Service Desk Support","New role","""As per Rahul request -New role - New title: Senior Discipline Manager
LM Tim Foster"""
"SCTASK0011615","COG - Service Desk Support","New role","As per Rahul request -New role - New role title - Learning, Development & Evaluation Manager"
"SCTASK0011614","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - Education Operations Coordinator
New line manager - Jenny Baker"""
"SCTASK0011613","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title Digital Content Lead
New line manager - Nick Baker"""
"SCTASK0011611","COG - Service Desk Support","New role title","As per Rahul request -New role title - National Development Officer (Programmes)"
"SCTASK0011609","COG - Service Desk Support","New role","""New role title - Digital Systems Officer 
New line manager - Rachel Derry"""
"SCTASK0011592","COG - Service Desk Support","New role title","As per Rahul request -New role title - Head of Learner Insight and Coach Development"
"SCTASK0011586","COG - Compute support","Need access to RDP to server z1HC-DETAL1 ( Job running server of Talend )","Need to check the job running files from Talend JOb server"
"SCTASK0011584","COG - Service Desk Support","New role","As per Rahul request -New role - National Head Coach"
"SCTASK0011583","COG - Service Desk Support","Assistant Head Coach","As per Rahul request -New role - Assistant Head Coach"
"SCTASK0011582","COG - Service Desk Support","""New role title - Education Development Coordinator  New line manager - Jake Kemp""","New role"
"SCTASK0011581","COG - Service Desk Support","""New job title - Digital Content Planner  New line manager - Maris Brewer""","New role"
"SCTASK0011580","COG - Service Desk Support","""New role title - Digital Systems Officer  New line manager - Rachel Derry""","New role title"
"SCTASK0011579","COG - Service Desk Support","""New role title - National Coach Development Lead (D&I) New line manager - John Folwell""","New role"
"SCTASK0011578","COG - Service Desk Support","New role - Learning & Development Programme Manager","New Role"
"SCTASK0011577","COG - Service Desk Support","""New role title - Coach Development Officer (W&G) North East New line manager - Roger Davis""","New role"
"SCTASK0011576","COG - Service Desk Support","""New role title - Coach Development Officer (W&G) East LM Rebecca Garlick""","New role"
"SCTASK0011575","COG - Service Desk Support","""New role - Coach Development Officer (W&G) London LM Steve Smithies""","New role"
"SCTASK0011574","COG - Service Desk Support","Phase Lead","New role"
"SCTASK0011573","COG - Service Desk Support","Assistant Head Coach","New role"
"SCTASK0011572","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - National Coach Development Lead (W&G)
New line manager - John Folwell"""
"SCTASK0011571","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - Coach Development Officer (W&G) North West
New line manager - Roger Davis"""
"SCTASK0011570","COG - Service Desk Support","Performance Psychology Lead","New role"
"SCTASK0011569","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - Coach Development Officer (W&G) East Mids
New line manager - Rebecca Garlick"""
"SCTASK0011568","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - Coach Development Officer (W&G) South East
LM Steve Smithies"""
"SCTASK0011567","COG - Service Desk Support","New role","""As per Rahul request -New role - New role - Coach Development Officer (W&G) South West
LM Andy Somers"""
"SCTASK0011566","COG - Service Desk Support","LM Roger Davis","Line manager change"
"SCTASK0011565","COG - Service Desk Support","LM Rebecca Garlick","Line manager change"
"SCTASK0011564","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Andy Somers"
"SCTASK0011563","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Roger Davis"
"SCTASK0011562","COG - Service Desk Support","LM Steve Smithies","Line manager change"
"SCTASK0011561","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Rebecca Garlick"
"SCTASK0011560","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title - Coach Development Officer (D&I) South West
LM Andy Somers"""
"SCTASK0011559","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Women's Player Insight Scientist"""
"SCTASK0011558","COG - Service Desk Support","""New role title - Coach Development Officer (D&I) West Mids LM Andy Somers""","New role title"
"SCTASK0011557","COG - Service Desk Support","New role title","As per Rahul request -New role title - Head of Learning and Development, Football Development"
"SCTASK0011556","COG - Service Desk Support","New role","""As per Rahul request -New role - Role title - Women's Pathway Analyst
LM Lois Fidler"""
"SCTASK0011555","COG - Service Desk Support","New role","""As per Rahul request -New role - New role title """"Resource Developer""""
LM Maris Brewer"""
"SCTASK0011554","COG - Service Desk Support","New role","As per Rahul request -New role - ""Head of Finance"""
"SCTASK0011553","COG - Service Desk Support","""Operations Team Coordinator""","New role title"
"SCTASK0011552","COG - Service Desk Support","New role","""As per Rahul request -new role - New role title """"Education Systems Coordinator""""
LM Gregory Kealer"""
"SCTASK0011551","COG - Service Desk Support","New reporting line","As per Rahul request -New reporting line - LM Maris Brewer"
"SCTASK0011550","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Senior Safeguarding Manager - FA and Grassroots"""
"SCTASK0011549","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Senior Safeguarding Manager - FA Venues and England Teams"""
"SCTASK0011548","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Safeguarding Adults and Education Manager"""
"SCTASK0011547","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Andy Robinson"
"SCTASK0011546","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Paul Smyth"
"SCTASK0011545","COG - Service Desk Support","""New role title """"Operations Stategic Lead"""" LM Zoe Wilson-Maye""","New role title"
"SCTASK0011544","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Paul Smyth"
"SCTASK0011543","COG - Service Desk Support","New role title","As per Rahul request -New role title - CFA Regional Manager - East"
"SCTASK0011542","COG - Service Desk Support","New role title","As per Rahul request -New role title - CFA Regional Manager - South"
"SCTASK0011541","COG - Service Desk Support","New role title & line manager","""As per Rahul request -New role title & line manager - """"CFA Support Services Manager - Finance & Marketing""""
LM Paul Dolan"""
"SCTASK0011540","COG - Service Desk Support","New role title","As per Rahul request -New role title - Senior County FA Operations Manager"
"SCTASK0011539","COG - Service Desk Support","New role title & line manager","""As per Rahul request -New role title & line manager -  """"Senior Development Manager - Pathways""""
LM Lou Gear"""
"SCTASK0011538","COG - Service Desk Support","LM Kate Baker","line manager change"
"SCTASK0011537","COG - Service Desk Support","New reporting line","""As per Rahul request -New reporting line - """"National Tournament Legacy Manager"""", 
LM Lou Gear"""
"SCTASK0011536","COG - Service Desk Support","""role title - """"Player Insights Lead PDP"""" LM Kate Baker""","role title"
"SCTASK0011535","COG - Service Desk Support","New role title","As per Rahul request -New role title - Education Services Administrator"
"SCTASK0011534","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Charlotte Lawrence"
"SCTASK0011533","COG - Service Desk Support","New role title","As per Rahul request -New role title - National Head Coach"
"SCTASK0011532","COG - Service Desk Support","New role","""As per Rahul request -New role - """"Course Designer"""" 
LM Shalin Saujani"""
"SCTASK0011531","COG - Service Desk Support","New role title & line manager","""As per Rahul request -New role title & line manager - role title change """"Membership & Operations Manager""""
LM Darren White"""
"SCTASK0011530","COG - Service Desk Support","New role title","As per Rahul request -New role title - Head of Event Operations"
"SCTASK0011529","COG - Service Desk Support","New role title","As per Rahul request -New role title - Wembley Stadium - Health, Safety & Risk Manager"
"SCTASK0011528","COG - Service Desk Support","New role title ""Player Insights National Lead""","New role title"
"SCTASK0011527","COG - Service Desk Support","Line manager change","As per Rahul request -Line manager change - LM Chris Dillon"
"SCTASK0011526","COG - Service Desk Support","New role title","As per Rahul request -New role title - National Goalkeeping Coach"
"SCTASK0011525","COG - Service Desk Support","line manager change","As per Rahul request -line manager change - LM Chris Bryant"
"SCTASK0011524","COG - Service Desk Support","""Crowd Safety Support"" new role title","New Role"
"SCTASK0011523","COG - Service Desk Support","New role","""As per Rahul request -New role - new role title """"National Development Manager (Disability Pathway)"""" 
LM David Reeve"""
"SCTASK0011522","COG - Service Desk Support","New role","""As per Rahul request -New role - new role title - National Development Manager (Programmes)
LM Donna McIvor"""
"SCTASK0011521","COG - Service Desk Support","LM Holly Murdoch","New reporting line"
"SCTASK0011520","COG - Service Desk Support","New role title","As per Rahul request -New role title - Head of Coach Development and Insight"
"SCTASK0011519","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Player Insights Project Officer"""
"SCTASK0011518","COG - Service Desk Support","New role","""As per Rahul request -New role - Senior Women's Assistant Coach
LM Phil Neville"""
"SCTASK0011517","COG - Service Desk Support","New role title","As per Rahul request -New role title - Facilities Manager"
"SCTASK0011516","COG - Service Desk Support","New role","""As per Rahul request -New role - Mental health & Wellbeing Manager
LM Lee Rhoden"""
"SCTASK0011515","COG - Service Desk Support","New role title","As per Rahul request -New role title - Senior Wembley Groundsperson"
"SCTASK0011514","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Talent ID & Development Education Lead"""
"SCTASK0011513","COG - Service Desk Support","""role title """"Senior Events Manager - National Teams"""" LM Zoe Wilson-Maye""","role title"
"SCTASK0011512","COG - Service Desk Support","""Safeguarding Manager - FA and Grassroots""","New role title"
"SCTASK0011511","COG - Service Desk Support","""Safeguarding Manager - Women's Game""","New role title"
"SCTASK0011510","COG - Service Desk Support","""New role title - """"Assistant Event Technical Manager""""  LM Henry Munro""","New role"
"SCTASK0011509","COG - Service Desk Support","LM Andy Robinson","Line manager change"
"SCTASK0011508","COG - Service Desk Support","LM Paul Smyth","Line manager change"
"SCTASK0011507","COG - Service Desk Support","CFA Regional Manager - North","New role title"
"SCTASK0011506","COG - Service Desk Support","CFA Regional Manager - West","New role title"
"SCTASK0011505","COG - Service Desk Support","National Clubs Services Manager","New role title"
"SCTASK0011504","COG - Service Desk Support","""""""CFA Support Services Manager - Learning & Development"""" LM Paul Dolan""","New role title & line manager"
"SCTASK0011503","COG - Service Desk Support","""""""Head of Development"""" LM James Kendall""","New role title & line manager"
"SCTASK0011502","COG - Service Desk Support",""" """"Senior Development Manager - Programmes"""" LM Lou Gear""","New reporting line"
"SCTASK0011501","COG - Service Desk Support","LM Edleen John","New reporting line"
"SCTASK0011500","COG - Service Desk Support","National Assistant Coach role PDP","New role title"
"SCTASK0011499","COG - Service Desk Support","""""""Business Analyst (Education)"""" LM Joe Morrissey""","New role"
"SCTASK0011498","COG - Service Desk Support","National Head Coach","New role title"
"SCTASK0011497","COG - Service Desk Support","""New role title - Coach Development Officer (D&I) London LM Steve Smithies""","New role"
"SCTASK0011496","COG - Service Desk Support","""""""Business Partner"""" LM George Georgiou""","New role"
"SCTASK0011495","COG - Service Desk Support","""role title change """"Membership & Operations Manager"""" LM Darren White""","New role title & line manager"
"SCTASK0011494","COG - Service Desk Support","Project Manager","New role title"
"SCTASK0011493","COG - Service Desk Support","LM Chris Dillon","Line manager change"
"SCTASK0011492","COG - Service Desk Support","National Goalkeeping Coach","New role title"
"SCTASK0011491","COG - Service Desk Support","Head of External Operations","New role title"
"SCTASK0011490","COG - Service Desk Support","Senior Business Strategy & Performance Manager","New role title"
"SCTASK0011489","COG - Service Desk Support","""new role title""""National Development Manager (Female Pathway) """" LM David Reeve""","New role"
"SCTASK0011488","COG - Service Desk Support","""new role title - National Development Manager (Programmes)  LM Donna McIvor""","New role"
"SCTASK0011487","COG - Service Desk Support","Head of Education Operations","New role title"
"SCTASK0011486","COG - Service Desk Support","""""""National Head Coach (PDP 18-19)""""  LM Lois Fidler""","New role"
"SCTASK0011485","COG - Service Desk Support","""New role title - Estatesperson LM Matt Arnold""","New role"
"SCTASK0011484","COG - Service Desk Support","""new role title - PDP Phase Lead LM John McDermott""","New role"
"SCTASK0011483","COG - Service Desk Support","""U21 Assistant Coach""","New role"
"SCTASK0011482","COG - Service Desk Support","""""""Player Insights Talent Reporter (Mens)"""" LM Catherine Hesford""","New role"
"SCTASK0011481","COG - Service Desk Support","""""""Product Manager"""" LM Jon Pollard""","New role title & line manager"
"SCTASK0011480","COG - Service Desk Support","New role title","As per Rahul request -New role title - ""Team Manager Senior Women's"""
"SCTASK0011470","COG - Application Support","Safeguarding expiry needs to be updated on crm/wgs/ FAL","all learners need their Safeguarding expiry updated to read 6/10/20 on crm/wgs/fal
Paul Cooke 65762834-David Goodyear 62843533-Stuart Jarvis 65297860- Kev Leach 65321146-Jake Mcdermott 65700108-Steve Crick 57315820-Lee Adams 63941271-Tom Mcghie 57001377-Julie Moore 61666274-David Rudall 866356-Tom Steiner 1086139-Andre Taurean Manders 58453906- Lisa Atkins 62500126-Zoe Leavers 66650463-Ashley Roberts 62823860
Thank you"
"SCTASK0011459","COG - Application Support","Safeguarding expiry needs to be added to crm/wgs","Daniel Hammocks fan 58397150 safeguarding expires 10/9/23 can you update crm/wgs please."
"SCTASK0011456","COG - Service Desk Support","Please Update my Job Title and Line Manager on Outlook","I recently changed roles from Senior Business Analyst to Product Manager. Can you please update my Outlook Profile with my new job description and also update my Line Manager to Jon Pollard. Thanks"
"SCTASK0011447","COG - Desk side support - SGP","Require two mobile TV screen in Futsal Hall, St. George's Park for Monday 19th October meeting starting at 9:30am.","Require two mobile TV screen in Futsal Hall, St. George's Park for Monday 19th October; meeting starting at 9:30am."
"SCTASK0011416","COG - Service Desk Support","I am getting an error message in proactis when i try and approve a requisition order. See attached screenshot of error.","Due to the sensitivity surrounding the person the FA is trying to pay its super important from a possible national-interest comms perspective, FA HR have asked that this is done as a one-off supplier request. Thanks"
"SCTASK0011411","COG - Service Desk Support","Windows on my computer needs and update and as I am working from home using the VPN it is asking me to uninstall the VPN in order to to the update.","I need updates to be able to use word"
"SCTASK0011374","COG - Application Support","SAfeguarding expiry needs update on crm/wgs","David Cooney fan 1068773  safeguarding expires 24/9/21 this needs updating on crm/wgs please."
"SCTASK0011371","COG - Compute support","DKIM Configuration- FreshDesk Accounts","As a part of DKIM Authentication Configuration for mails triggering from Freshdesk accounts, We would be needing to add the given CNAME values to the respective domains. I have attached all the CNAME values information to the mail for the below set of County FA domains.

 

ManchesterFA

EssexFA

CumberLandFA

LancashireFA"
"SCTASK0011368","COG - Compute support","Password expires for FADEV  THEFA\cog.AVR and FADEV\cog.AVR. Can you please reset it.","Password expires for FADEV  THEFA\cog.AVR and FADEV\cog.AVR.

Can you please reset it."
"SCTASK0011365","COG - Compute support","Diary Access","Please could you give access to Ryan Kings diary to Megan Ashley & David Faulkner"
"SCTASK0011361","COG - DBA Support","Need read Access for  Database","Need Read Access for Production Db and STG Dbs
Could you please grant me Read access ,
User ID:THEFA\COG.SSR
Test Db Server Name : WEMGENSQL2,FADEV-DEVSQL1,WEMSTGSQL1,WEMSTGSQL2

Databases:wgs,onside"
"SCTASK0011358","COG - Smart Ops Support (L1.5)","Please can I update my account Validity on EMS that expired on the 12th September 2020","I require this in my role as workforce development administrator at Northamptonshire FA"
"SCTASK0011337","COG - Smart Ops Support (L1.5)","WGS CRM account to be added to the FA County Welfare Team.","DSO requires access"
